Mean Precision@3,Mean Recall@3,Mean F1@3,Mean Precision@5,Mean Recall@5,Mean F1@5,Mean Precision@10,Mean Recall@10,Mean F1@10,embeddings,no_of_questions,docs_cleaning_strategy,reranker,chunking_strategy,ef_construction,bm25_b,bm25_k1,alpha,top_k,timestamp,Mean nDCG@3,Mean nDCG@5,Mean nDCG@10,window_size,overlap_size,summarizer,query_cleaning_strategy,pdf_num_split,chunk_overlap_rate,context_embedder
0.3333333333333333,0.625,0.475,0.2799999999999999,0.7916666666666666,0.4672619047619047,0.18,1.0,0.3595571095571095,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,pdf_based_chunking,300,0.7,1.25,0.8,10,2025-09-06T03:52:07.657745,0.4365268796764857,0.5132567074840658,0.5784252414119452,,,,query_cleaning_strategy_v1,,,
0.8,0.2783333333333333,0.4108780108780108,0.8400000000000001,0.5,0.6219114219114219,0.8400000000000001,1.0,0.9055555555555556,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,pdf_based_chunking,300,0.7,1.25,0.8,10,2025-09-06T03:52:07.657745,0.8,0.8262410155024684,0.9189995983444122,,,,query_cleaning_strategy_v1,,,
0.3333333333333333,0.6041666666666666,0.4630952380952381,0.24,0.6666666666666666,0.3908730158730158,0.2,1.0,0.3870296370296371,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,pdf_based_chunking,300,0.7,1.25,0.8,10,2025-09-06T04:10:03.275836,0.4365268796764857,0.4588409357189813,0.5796161835826965,,,,query_cleaning_strategy_v1,,,
0.8666666666666666,0.3866666666666666,0.5253246753246753,0.76,0.5561111111111112,0.6286691086691086,0.68,1.0,0.7926482873851295,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,pdf_based_chunking,300,0.7,1.25,0.8,10,2025-09-06T04:10:03.275836,0.8469278726022758,0.7879951568138828,0.8988687912843583,,,,query_cleaning_strategy_v1,,,
0.6666666666666667,0.393015873015873,0.3912820512820513,0.7200000000000001,0.5746031746031746,0.5476190476190477,0.74,1.0,0.7905432029271038,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,recursively_split_chunking,300,0.7,1.25,0.8,10,2025-09-06T17:16:47.011045,0.6877114904091026,0.7465734530514657,0.8244692368655702,600.0,100.0,,query_cleaning_strategy_v1,,,
0.4666666666666667,0.5875,0.5267857142857143,0.36,0.7125,0.5111111111111111,0.28,1.0,0.4978354978354979,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,recursively_split_chunking,300,0.7,1.25,0.8,10,2025-09-06T17:06:34.716717,0.6122885095908973,0.5849717109234873,0.7082545809780273,300.0,50.0,,query_cleaning_strategy_v1,,,
0.6666666666666667,0.5033333333333333,0.496031746031746,0.52,0.5977777777777777,0.4911399711399712,0.5,1.0,0.6234563681932103,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,recursively_split_chunking,300,0.7,1.25,0.8,10,2025-09-06T17:16:47.011045,0.8,0.729538521647239,0.8954624827424624,600.0,100.0,,query_cleaning_strategy_v1,,,
0.8666666666666666,0.3316666666666666,0.4741258741258741,0.8800000000000001,0.5561111111111111,0.6731135531135531,0.8,1.0,0.8783625730994153,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,recursively_split_chunking,300,0.7,1.25,0.8,10,2025-09-06T16:55:46.781447,0.8938557452045511,0.8970457110232646,0.9564580603586238,100.0,50.0,,query_cleaning_strategy_v1,,,
0.3333333333333333,0.3125,0.3531746031746032,0.36,0.5208333333333334,0.4766414141414141,0.3399999999999999,1.0,0.5885989010989011,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,recursively_split_chunking,300,0.7,1.25,0.8,10,2025-09-06T16:55:46.781447,0.3407836178068269,0.4117299739852974,0.5945084787178069,100.0,50.0,,query_cleaning_strategy_v1,,,
0.8666666666666666,0.3009523809523809,0.4446153846153846,0.8400000000000001,0.4888888888888889,0.6142857142857142,0.86,1.0,0.9188854489164088,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,pdf_based_recursively_split_chunking,300,0.7,1.25,0.8,10,2025-09-06T18:26:43.399091,0.8592163821931731,0.8398245984808327,0.936004562760151,,100.0,,query_cleaning_strategy_v1,5.0,,
0.7333333333333333,0.2938095238095238,0.4106471306471306,0.8400000000000001,0.5976190476190476,0.6787878787878787,0.74,1.0,0.8289915966386555,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,pdf_based_recursively_split_chunking,300,0.7,1.25,0.8,10,2025-09-06T18:17:42.855545,0.7653606369886217,0.8452578675932074,0.905797695887304,,100.0,,query_cleaning_strategy_v1,3.0,,
0.8,0.7257142857142858,0.6799999999999999,0.52,0.7657142857142857,0.560952380952381,0.4,1.0,0.5344028520499109,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,recursively_split_chunking,300,0.7,1.25,0.8,10,2025-09-06T17:44:36.093199,0.9,0.7628496135555125,0.8680205484790873,1200.0,200.0,,query_cleaning_strategy_v1,,,
0.9333333333333332,0.365,0.5164335664335664,0.92,0.585,0.7035897435897436,0.82,1.0,0.888888888888889,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,recursively_split_chunking,300,0.7,1.25,0.8,10,2025-09-06T18:01:16.582897,0.9061442547954488,0.9059269434428086,0.9550655644955306,1200.0,200.0,,query_cleaning_strategy_v1,,,
0.6,0.5771428571428572,0.5242857142857142,0.56,0.8342857142857142,0.6120634920634921,0.38,1.0,0.5153552330022919,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,pdf_based_recursively_split_chunking,300,0.7,1.25,0.8,10,2025-09-06T18:17:42.855545,0.8164851837576428,0.8616417210059947,0.9284430333169078,,100.0,,query_cleaning_strategy_v1,3.0,,
0.9333333333333332,0.3116666666666666,0.4664335664335664,0.92,0.5111111111111111,0.6556776556776557,0.9,1.0,0.945029239766082,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,,pdf_based_recursively_split_chunking,300,0.7,1.25,0.8,10,2025-09-06T18:46:24.173857,0.9530721273977244,0.93984296397017,0.9827479674660656,,,,query_cleaning_strategy_v1,5.0,0.2,
0.6666666666666667,0.41500000000000004,0.6113636363636362,0.43999999999999995,0.515,0.5582417582417583,0.42000000000000004,1.0,0.5474747474747474,intfloat/multilingual-e5-base,5,docs_cleaning_strategy_v2,None,pdf_based_recursively_split_chunking,300,0.7,1.25,0.8,10,2025-09-07T01:49:18.556047,0.7226294385530917,0.609079006654581,0.8092853383936218,None,None,None,query_cleaning_strategy_v1,3,0.2,True
